name,label,phcf
094e0e81-c64b-430b-8954-b4f10e3651c4,ФАП С.ОТИНЕВИЧІ,074996fc-88ab-4112-8357-c8200d128ffe
6449eeac-0e5d-459d-a9bd-ee7ae4609210,ФАП С.ПІДДНІСТРЯНИ,074996fc-88ab-4112-8357-c8200d128ffe
7ad7f7e3-65de-4590-8550-11dc8d6b8841,ФАП С.РУДКІВЦІ,074996fc-88ab-4112-8357-c8200d128ffe
12b167bc-8861-49ec-a813-293fd68fbaf2,ФАП С.САДКИ,074996fc-88ab-4112-8357-c8200d128ffe
2dcc2be6-db25-4472-b31c-1bc02be2a880,ФАП С.СУГРІВ,074996fc-88ab-4112-8357-c8200d128ffe
9e8b2d63-3fa9-49b3-a612-bc320b277925,ФАП С.ЧОРНИЙ ОСТРІВ,074996fc-88ab-4112-8357-c8200d128ffe
50a26562-8655-4f9a-b591-8a3c408cf596,ХОДОРІВСЬКА АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ – СІМЕЙНОЇ МЕДИЦИНИ,074996fc-88ab-4112-8357-c8200d128ffe
5d00e4df-0896-4bb9-b058-23b5324ea83a,Амбулаторія ЗПСМ м.Валки,082a0736-07c3-421b-a75c-64bbae7e92c1
5a9c65ae-cee2-417e-a432-cfc8e551b14a,Амбулаторія ЗПСМ с.Велика Губщина,082a0736-07c3-421b-a75c-64bbae7e92c1
2b752db1-d0c9-40f0-977f-75330e04c170,Амбулаторія ЗПСМ с.Високопілля,082a0736-07c3-421b-a75c-64bbae7e92c1
db8bf640-ef7d-4f96-b92f-82c6fa2139d0,Амбулаторія ЗПСМ с.Сидоренкове,082a0736-07c3-421b-a75c-64bbae7e92c1
913b121d-44da-4481-be58-bb86c2d7c90c,Амбулаторія ЗПСМ с.Сніжків,082a0736-07c3-421b-a75c-64bbae7e92c1
6afbe77c-4dec-4375-b4c0-5a9ca3e819f3,Амбулаторія ЗПСМ с.Шарівка,082a0736-07c3-421b-a75c-64bbae7e92c1
c6572ab6-4423-4cbc-8f71-87b18dc9e962,Амбулаторія ЗПСМ смт.Ков'яги,082a0736-07c3-421b-a75c-64bbae7e92c1
a0308037-12f8-463f-bfae-26c3e374d1fb,Амбулаторія ЗПСМ смт.Старий Мерчик,082a0736-07c3-421b-a75c-64bbae7e92c1
666d19e1-0e57-4999-8c6d-1c25fe7be06a,Пункт здоров'я с.Благодатне,082a0736-07c3-421b-a75c-64bbae7e92c1
82b50405-bd9a-486b-805a-f7c25ba2221a,Пункт здоров'я с.Добропілля,082a0736-07c3-421b-a75c-64bbae7e92c1
1ca9b11f-8562-4d37-982e-be74039c6ddb,Пункт здоров'я с.Кобзарівка,082a0736-07c3-421b-a75c-64bbae7e92c1
644d1b0f-2ffc-4cfb-afc4-afa94a49898f,Пункт здоров'я с.Литвинівка,082a0736-07c3-421b-a75c-64bbae7e92c1
