legal_entity_edrpou,legal_entity_name,residence_settlement_koatuu,residence_settlement_upd,Count of division_id,ent_num,ent_name,entity_num_id,entity_id,admin1,admin2,admin3,admin4,section,bnfc_group.bnfc_grp,Status
45375265,"КНП ""Амбулаторія загальної практики сімейної медицини"" Квітневої сільської ради Житомирського району Житомирської області",1824781801,ЄРЧИКИ,1,4537526504,"[ЄРЧИКИ] КНП ""Амбулаторія загальної практики сімейної медицини"" Квітневої сільської ради Житомирського району Житомирської області",HCF (4537526504),"HCF (4537526504) - [ЄРЧИКИ] КНП ""Амбулаторія загальної практики сімейної медицини"" Квітневої сільської ради Житомирського району Житомирської області",Zhytomyrska - Житомирська - UA18,Zhytomyrskyi - Житомирський - UA1804,Kvitneva - Квітнева - UA1804021,Yerchyky - Єрчики - UA1804021004,Health,Healthcare Facility,Active
45375265,"КНП ""Амбулаторія загальної практики сімейної медицини"" Квітневої сільської ради Житомирського району Житомирської області",1824785501,ПОЧУЙКИ,1,4537526505,"[ПОЧУЙКИ] КНП ""Амбулаторія загальної практики сімейної медицини"" Квітневої сільської ради Житомирського району Житомирської області",HCF (4537526505),"HCF (4537526505) - [ПОЧУЙКИ] КНП ""Амбулаторія загальної практики сімейної медицини"" Квітневої сільської ради Житомирського району Житомирської області",Zhytomyrska - Житомирська - UA18,Zhytomyrskyi - Житомирський - UA1804,Kvitneva - Квітнева - UA1804021,Pochuiky - Почуйки - UA1804021006,Health,Healthcare Facility,Active
45377697,"ТОВ ""АМ-МЕД""",8000000000,КИЇВ,1,4537769701,"[КИЇВ] ТОВ ""АМ-МЕД""",HCF (4537769701),"HCF (4537769701) - [КИЇВ] ТОВ ""АМ-МЕД""",Kyiv - Київ - UA80,Kyiv - Київ - UA8000,Kyiv - Київ - UA8000000,Kyiv - Київ - UA8000000000,Health,Healthcare Facility,Active
45395213,"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",4622155400,ЗАПИТІВ,1,4539521301,"[ЗАПИТІВ] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",HCF (4539521301),"HCF (4539521301) - [ЗАПИТІВ] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",Lvivska - Львівська - UA46,Lvivskyi - Львівський - UA4606,Novoiarychivska - Новояричівська - UA4606029,Zapytiv - Запитів - UA4606029002,Health,Healthcare Facility,Active
45395213,"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",4622155600,НОВИЙ ЯРИЧІВ,1,4539521302,"[НОВИЙ ЯРИЧІВ] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",HCF (4539521302),"HCF (4539521302) - [НОВИЙ ЯРИЧІВ] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",Lvivska - Львівська - UA46,Lvivskyi - Львівський - UA4606,Novoiarychivska - Новояричівська - UA4606029,Novyi Yarychiv - Новий Яричів - UA4606029001,Health,Healthcare Facility,Active
45395213,"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",4622180401,БАНЮНИН,1,4539521303,"[БАНЮНИН] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",HCF (4539521303),"HCF (4539521303) - [БАНЮНИН] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",Lvivska - Львівська - UA46,Lvivskyi - Львівський - UA4606,Novoiarychivska - Новояричівська - UA4606029,Baniunyn - Банюнин - UA4606029003,Health,Healthcare Facility,Active
45395213,"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",4622181601,ВЕЛИКОСІЛКИ,1,4539521304,"[ВЕЛИКОСІЛКИ] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",HCF (4539521304),"HCF (4539521304) - [ВЕЛИКОСІЛКИ] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",Lvivska - Львівська - UA46,Lvivskyi - Львівський - UA4606,Novoiarychivska - Новояричівська - UA4606029,Velykosilky - Великосілки - UA4606029006,Health,Healthcare Facility,Active
45395213,"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",4622181602,МАЛІ НАГІРЦІ,1,4539521305,"[МАЛІ НАГІРЦІ] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",HCF (4539521305),"HCF (4539521305) - [МАЛІ НАГІРЦІ] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",Lvivska - Львівська - UA46,Lvivskyi - Львівський - UA4606,Novoiarychivska - Новояричівська - UA4606029,Mali Nahirtsi - Малі Нагірці - UA4606029009,Health,Healthcare Facility,Active
45395213,"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",4622181604,СОКОЛІВ,1,4539521306,"[СОКОЛІВ] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",HCF (4539521306),"HCF (4539521306) - [СОКОЛІВ] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",Lvivska - Львівська - UA46,Lvivskyi - Львівський - UA4606,Novoiarychivska - Новояричівська - UA4606029,Sokoliv - Соколів - UA4606029014,Health,Healthcare Facility,Active
45395213,"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",4622182301,ДІДИЛІВ,1,4539521307,"[ДІДИЛІВ] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",HCF (4539521307),"HCF (4539521307) - [ДІДИЛІВ] КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОЯРИЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ",Lvivska - Львівська - UA46,Lvivskyi - Львівський - UA4606,Novoiarychivska - Новояричівська - UA4606029,Didyliv - Дідилів - UA4606029007,Health,Healthcare Facility,Active
